gamePk,attendance,attendance_high_for_date,attendance_low_for_date,is_doubleheader_date
777961,29460.0,29460.0,29460.0,False
777966,16805.0,16805.0,16805.0,False
777971,20304.0,20304.0,20304.0,False
777958,36823.0,36823.0,36823.0,False
777952,32271.0,32271.0,32271.0,False
777960,17359.0,17359.0,17359.0,False
777953,42513.0,42513.0,42513.0,False
777951,20136.0,20136.0,20136.0,False
777950,35580.0,35580.0,35580.0,False
777948,26386.0,26386.0,26386.0,False
777947,41419.0,41419.0,41419.0,False
777959,32696.0,32696.0,32696.0,False
777939,27387.0,27387.0,27387.0,False
777941,27895.0,27895.0,27895.0,False
777949,23123.0,23123.0,23123.0,False
777932,43957.0,43957.0,43957.0,False
777934,19924.0,19924.0,19924.0,False
777944,16153.0,16153.0,16153.0,False
777945,18997.0,18997.0,18997.0,False
777935,27717.0,27717.0,27717.0,False
777943,35926.0,35926.0,35926.0,False
777940,20115.0,20115.0,20115.0,False
777942,32725.0,32725.0,32725.0,False
777931,27114.0,27114.0,27114.0,False
777926,30840.0,30840.0,30840.0,False
777930,30960.0,30960.0,30960.0,False
777937,45161.0,45161.0,45161.0,False
777936,38083.0,38083.0,38083.0,False
777915,30520.0,30520.0,30520.0,False
777924,10169.0,10169.0,10169.0,True
777938,10169.0,10169.0,10169.0,True
777922,40773.0,40773.0,35150.0,True
777933,35150.0,40773.0,35150.0,True
777925,25063.0,25063.0,25063.0,False
777916,30078.0,30078.0,30078.0,False
777927,21013.0,21013.0,21013.0,False
777923,22314.0,22314.0,22314.0,False
777919,34473.0,34473.0,34473.0,False
777929,37134.0,37134.0,37134.0,False
777921,34167.0,34167.0,34167.0,False
777918,18679.0,18679.0,18679.0,False
777920,24641.0,24641.0,24641.0,False
777914,43766.0,43766.0,43766.0,False
777917,50071.0,50071.0,50071.0,False
777928,43585.0,43585.0,43585.0,False
777909,34074.0,34074.0,34074.0,False
777911,30926.0,30926.0,30926.0,False
777912,19513.0,19513.0,19513.0,False
777913,22856.0,22856.0,22856.0,False
777910,28108.0,28108.0,28108.0,False
777946,51272.0,51272.0,51272.0,False
777903,11714.0,11714.0,11714.0,False
777900,40171.0,40171.0,40171.0,False
777902,26131.0,26131.0,26131.0,False
777905,44039.0,44039.0,44039.0,False
777907,21171.0,21171.0,21171.0,False
777906,23146.0,23146.0,23146.0,False
777908,34648.0,34648.0,34648.0,False
777891,41112.0,41112.0,41112.0,False
777901,28104.0,28104.0,28104.0,False
777895,33035.0,33035.0,33035.0,False
777898,33070.0,33070.0,33070.0,False
777897,35204.0,35204.0,35204.0,False
777896,41336.0,41336.0,41336.0,False
777899,46273.0,46273.0,46273.0,False
777904,47700.0,47700.0,47700.0,False
777882,38465.0,38465.0,38465.0,False
777881,40134.0,40134.0,40134.0,False
777886,40171.0,40171.0,40171.0,False
777890,28208.0,28208.0,28208.0,False
777888,47510.0,47510.0,47510.0,False
777889,12052.0,12052.0,12052.0,False
777894,44164.0,44164.0,44164.0,False
777892,38586.0,38586.0,38586.0,False
777885,36134.0,36134.0,36134.0,False
777883,40267.0,40267.0,40267.0,False
777875,42240.0,42240.0,42240.0,False
777879,40448.0,40448.0,40448.0,False
777884,50084.0,50084.0,50084.0,False
777893,34594.0,34594.0,34594.0,False
777887,35129.0,35129.0,35129.0,False
777876,35012.0,35012.0,35012.0,False
777864,25695.0,25695.0,25695.0,False
777869,34433.0,34433.0,34433.0,False
777873,37264.0,37264.0,37264.0,False
777880,44356.0,44356.0,44356.0,False
777874,27628.0,27628.0,27628.0,False
